Name,Kinderarztdichte,Unnamed: 0,ROR,KJP-Dichte
Düsseldorf,11.0,0,Düsseldorf,1.2
Duisburg,10.4,1,Duisburg/Essen,1.4
Essen,8.6,2,Duisburg/Essen,1.4
Krefeld,11.4,3,Düsseldorf,1.2
Mönchengladbach,12.7,4,Düsseldorf,1.2
Mülheim an der Ruhr,7.5,5,Duisburg/Essen,1.4
Oberhausen,11.4,6,Duisburg/Essen,1.4
Remscheid,13.3,7,Düsseldorf,1.2
Solingen,11.2,8,Düsseldorf,1.2
Wuppertal,12.8,9,Düsseldorf,1.2
Kleve,8.5,10,Duisburg/Essen,1.4
Mettmann,10.0,11,Düsseldorf,1.2
Rhein-Kreis Neuss,10.7,12,Düsseldorf,1.2
Viersen,9.6,13,Düsseldorf,1.2
Wesel,9.2,14,Duisburg/Essen,1.4
Bonn,14.3,15,Bonn,2.0
Köln,12.4,16,Köln,2.2
Leverkusen,12.7,17,Köln,2.2
Aachen,11.9,18,Aachen,1.6
Düren,10.3,19,Aachen,1.6
Rhein-Erft-Kreis,8.4,20,Köln,2.2
Euskirchen,7.1,21,Aachen,1.6
Heinsberg,7.6,22,Aachen,1.6
Oberbergischer Kreis,7.6,23,Köln,2.2
Rheinisch-Bergischer Kreis,10.5,24,Köln,2.2
Rhein-Sieg-Kreis,11.2,25,Bonn,2.0
Bottrop,9.3,26,Emscher-Lippe,1.7
Gelsenkirchen,9.9,27,Emscher-Lippe,1.7
Münster,18.4,28,Münster,2.2
Borken,8.7,29,Münster,2.2
Coesfeld,11.1,30,Münster,2.2
Recklinghausen,9.0,31,Emscher-Lippe,1.7
Steinfurt,9.6,32,Münster,2.2
Warendorf,9.2,33,Münster,2.2
Bielefeld,11.8,34,Bielefeld,1.1
Gütersloh,8.9,35,Bielefeld,1.1
Herford,9.5,36,Bielefeld,1.1
Höxter,4.9,37,Paderborn,0.9
Lippe,7.1,38,Bielefeld,1.1
Minden-Lübbecke,7.3,39,Bielefeld,1.1
Paderborn,9.9,40,Paderborn,0.9
Bochum,13.1,41,Bochum/Hagen,1.5
Dortmund,8.8,42,Dortmund,1.5
Hagen,9.5,43,Bochum/Hagen,1.5
Hamm,10.0,44,Dortmund,1.5
Herne,7.6,45,Bochum/Hagen,1.5
Ennepe-Ruhr-Kreis,10.1,46,Bochum/Hagen,1.5
Hochsauerlandkreis,6.5,47,Arnsberg,0.9
Märkischer Kreis,7.6,48,Bochum/Hagen,1.5
Olpe,6.0,49,Siegen,1.7
Siegen-Wittgenstein,10.5,50,Siegen,1.7
Soest,8.5,51,Arnsberg,0.9
Unna,7.0,52,Dortmund,1.5
