Name,Gesamtbevölkerung,Bevölkerung 6 bis 20,Anteil gesamt
Düsseldorf,618685,76018,12.287028132248237
Duisburg,502270,71210,14.177633543711549
Essen,574682,76228,13.264379256701966
Krefeld,231406,31097,13.438285956284627
Mönchengladbach,267213,35894,13.432729695037294
Mülheim an der Ruhr,173050,23013,13.298468650678993
Oberhausen,213646,28822,13.490540426687136
Remscheid,113828,15425,13.551147345117196
Solingen,165626,22381,13.512975015999903
Wuppertal,358193,50179,14.008928147674576
Kleve,322018,42460,13.185598320590774
Mettmann,490910,66139,13.472734309751278
Rhein-Kreis Neuss,457077,63589,13.912097961612597
Viersen,297857,38659,12.979046992348678
Wesel,457918,59137,12.914320904616112
Bonn,323336,43701,13.515661726501223
Köln,1024621,127926,12.485201845365262
Leverkusen,168581,23132,13.721593773912838
Aachen,582410,73441,12.609845297985956
Düren,279285,37189,13.315788531428469
Rhein-Erft-Kreis,477988,66261,13.86248190331138
Euskirchen,202609,27233,13.441160066926939
Heinsberg,263681,35697,13.537949264452124
Oberbergischer Kreis,274057,38412,14.01606235199247
Rheinisch-Bergischer Kreis,284273,38195,13.436028043465262
Rhein-Sieg-Kreis,605441,84114,13.8930135223746
Bottrop,118535,15050,12.696671869068208
Gelsenkirchen,267930,39987,14.92442055760833
Münster,308258,37892,12.292300605337088
Borken,380796,54698,14.3641214718642
Coesfeld,227859,31210,13.697067045848529
Recklinghausen,621305,82722,13.314233749929583
Steinfurt,451712,63486,14.054530320204023
Warendorf,282639,39483,13.969409741755385
Bielefeld,331605,45255,13.647261048536663
Gütersloh,363982,51494,14.147402893549682
Herford,254404,35368,13.902297133692867
Höxter,139252,18563,13.330508718007641
Lippe,347149,49849,14.359540139824686
Minden-Lübbecke,320557,45686,14.252067495016489
Paderborn,315912,44525,14.094114816784419
Bochum,358676,43266,12.06269725323133
Dortmund,603462,81355,13.481379109206545
Hagen,190384,27118,14.243844020505925
Hamm,179968,25266,14.03916251778094
Herne,155851,21150,13.570654022110862
Ennepe-Ruhr-Kreis,314167,39319,12.515318286134445
Hochsauerlandkreis,260843,33946,13.013958588116223
Märkischer Kreis,408046,55051,13.491371070908672
Olpe,132346,17911,13.533465310625179
Siegen-Wittgenstein,274074,36667,13.378503615811788
Soest,300297,40276,13.412055398488828
Unna,393784,51228,13.009162383438635
