Name,Bildungsindex
Düsseldorf,3.4898986708032043
Duisburg,2.451916160101917
Essen,2.97061546348786
Krefeld,2.6248227170616065
Mönchengladbach,2.5309252845126173
Mülheim an der Ruhr,2.961709006928406
Oberhausen,2.2885104219623793
Remscheid,2.4949546666666667
Solingen,2.43827325492592
Wuppertal,2.670879220075826
Kleve,2.190921661979935
Mettmann,2.712772158409052
Rhein-Kreis Neuss,2.543826373558036
Viersen,2.28234885833563
Wesel,2.3250422097656513
Bonn,3.6889745166914905
Köln,3.35864811007633
Leverkusen,2.9186381996537794
Aachen,3.1033307061584754
Düren,2.5144476232394366
Rhein-Erft-Kreis,2.453008239759817
Euskirchen,2.208217281950001
Heinsberg,2.2598108598985407
Oberbergischer Kreis,2.5464341309271914
Rheinisch-Bergischer Kreis,2.7297753538501492
Rhein-Sieg-Kreis,2.5546657161418658
Bottrop,2.1800884955752213
Gelsenkirchen,2.274650357827775
Münster,3.308707635769702
Borken,2.1720538657593487
Coesfeld,2.2403702984398266
Recklinghausen,2.194240508388188
Steinfurt,2.356330109142814
Warendorf,2.308341444422815
Bielefeld,2.848398348898772
Gütersloh,2.3128794646439252
Herford,2.390205371248025
Höxter,2.210839667823718
Lippe,2.5118612244897958
Minden-Lübbecke,2.4269559298214793
Paderborn,2.6463403518366606
Bochum,2.822506015176754
Dortmund,2.8320540615169914
Hagen,2.4249255141341473
Hamm,2.227224634820371
Herne,2.3422598479612993
Ennepe-Ruhr-Kreis,2.4519247478027055
Hochsauerlandkreis,2.234437876144012
Märkischer Kreis,2.2854529163716566
Olpe,2.2036161606316096
Siegen-Wittgenstein,2.536198270435042
Soest,2.459168070493715
Unna,2.29903959146368
