Name,Mindestsicherungsquote
Düsseldorf,11.0
Duisburg,16.8
Krefeld,14.0
Mönchengladbach,15.8
Mülheim an der Ruhr,13.9
Oberhausen,14.5
Remscheid,12.3
Solingen,11.4
Wuppertal,15.7
Kleve,8.2
Mettmann,10.3
Rhein-Kreis Neuss,8.3
Viersen,7.9
Wesel,9.4
Bonn,11.2
Köln,13.9
Leverkusen,12.1
Aachen,10.4
Düren,9.9
Rhein-Erft-Kreis,8.6
Euskirchen,7.7
Heinsberg,8.4
Oberbergischer Kreis,7.5
Rheinisch-Bergischer Kreis,8.2
Rhein-Sieg-Kreis,7.8
Bottrop,11.1
Gelsenkirchen,21.7
Münster,8.6
Borken,6.3
Coesfeld,6.6
Recklinghausen,12.9
Steinfurt,7.3
Warendorf,7.6
Bielefeld,13.0
Gütersloh,7.3
Herford,8.5
Höxter,7.3
Lippe,8.9
Minden-Lübbecke,9.5
Paderborn,8.2
Bochum,13.3
Dortmund,17.6
Hagen,16.6
Hamm,11.5
Herne,16.8
Ennepe-Ruhr-Kreis,10.9
Hochsauerlandkreis,7.1
Märkischer Kreis,10.0
Olpe,6.1
Siegen-Wittgenstein,8.5
Soest,8.3
Unna,10.2
