Name,SGB II-Bezug
Düsseldorf,49723
Duisburg,71734
Essen,85382
Krefeld,25978
Mönchengladbach,33282
Mülheim an der Ruhr,19445
Oberhausen,26251
Remscheid,10880
Solingen,14915
Wuppertal,45419
Kleve,17414
Mettmann,39429
Rhein-Kreis Neuss,30233
Viersen,17002
Wesel,32239
Bonn,27691
Köln,108840
Leverkusen,16062
Aachen,46388
Düren,21302
Rhein-Erft-Kreis,32128
Euskirchen,10504
Heinsberg,15917
Oberbergischer Kreis,15123
Rheinisch-Bergischer Kreis,17922
Rhein-Sieg-Kreis,35234
Bottrop,10700
Gelsenkirchen,50380
Münster,18958
Borken,17261
Coesfeld,10335
Recklinghausen,65150
Steinfurt,23148
Warendorf,15662
Bielefeld,33262
Gütersloh,18986
Herford,16194
Höxter,6757
Lippe,23688
Minden-Lübbecke,23517
Paderborn,19154
Bochum,39131
Dortmund,88984
Hagen,25810
Hamm,16052
Herne,22286
Ennepe-Ruhr-Kreis,26718
Hochsauerlandkreis,12733
Märkischer Kreis,32620
Olpe,5690
Siegen-Wittgenstein,18265
Soest,17262
Unna,32129
